Architecture,Activation,Optimizer,Sequence_Length,Gradient_Clipping,Train_Accuracy,Test_Accuracy,F1_Score,Time_per_Epoch,Total_Training_Time
BiLSTM,relu,adam,50,True,0.50248,0.76276,0.7627393909740745,17.0114857673645,98.3781921863556
BiLSTM,relu,adam,100,False,0.49456,0.81796,0.8176594371097543,33.98018670082092,193.1115849018097
BiLSTM,relu,adam,100,True,0.494,0.81636,0.8162996848672511,33.713299036026,191.70143103599548
BiLSTM,relu,sgd,25,False,0.50424,0.52128,0.519236254085568,8.474189949035644,49.89143919944763
BiLSTM,relu,sgd,25,True,0.50424,0.52128,0.519236254085568,8.699625253677368,50.981765031814575
BiLSTM,relu,sgd,50,False,0.50008,0.52332,0.5204291615648665,15.91109127998352,92.74129104614258
BiLSTM,relu,sgd,50,True,0.50008,0.52332,0.5204291615648665,16.103358888626097,93.66392493247986
BiLSTM,relu,sgd,100,False,0.50604,0.52804,0.5278188824933552,95.26965727806092,1443.404551029205
BiLSTM,relu,sgd,100,True,0.506,0.52796,0.5277404779062109,282.2603530883789,2469.849704027176
BiLSTM,relu,rmsprop,25,False,0.50228,0.7146,0.7139376127016646,155.88025121688844,787.0250277519226
BiLSTM,relu,rmsprop,25,True,0.50632,0.71872,0.718115204218736,132.36994848251342,669.5213119983673
BiLSTM,relu,rmsprop,50,False,0.49964,0.76216,0.7613325747867628,17.388546085357667,100.439279794693
BiLSTM,relu,rmsprop,50,True,0.50092,0.75796,0.7559958450241808,17.638312244415282,101.57484412193298
BiLSTM,relu,rmsprop,100,False,0.49528,0.81408,0.813871865265835,32.77028088569641,187.84720396995544
BiLSTM,relu,rmsprop,100,True,0.49364,0.8168,0.8167898586591202,32.76000180244446,187.74733686447144
BiLSTM,tanh,adam,25,False,0.50328,0.71376,0.7137214783621284,9.993169164657592,57.838563203811646
BiLSTM,tanh,adam,25,True,0.50404,0.71812,0.7178626794781913,10.306735038757324,59.45994186401367
BiLSTM,tanh,adam,50,False,0.5026,0.76636,0.7663341401058192,17.790394592285157,102.568843126297
BiLSTM,tanh,adam,50,True,0.50248,0.76276,0.7627393909740745,17.674747276306153,101.51869916915894
BiLSTM,tanh,adam,100,False,0.49456,0.81796,0.8176594371097543,32.88582968711853,188.44586396217343
BiLSTM,tanh,adam,100,True,0.494,0.81636,0.8162996848672511,33.46587872505188,191.28345489501953
BiLSTM,tanh,sgd,25,False,0.50424,0.52128,0.519236254085568,8.576922035217285,50.563989877700806
BiLSTM,tanh,sgd,25,True,0.50424,0.52128,0.519236254085568,8.824629068374634,51.83060908317566
BiLSTM,tanh,sgd,50,False,0.50008,0.52332,0.5204291615648665,16.16858115196228,94.22854399681091
BiLSTM,tanh,sgd,50,True,0.50008,0.52332,0.5204291615648665,16.559533166885377,95.99937295913696
BiLSTM,tanh,sgd,100,False,0.50604,0.52804,0.5278188824933552,31.60902953147888,181.94274306297305
BiLSTM,tanh,sgd,100,True,0.506,0.52796,0.5277404779062109,31.75388922691345,182.52454113960263
BiLSTM,tanh,rmsprop,25,False,0.50228,0.7146,0.7139376127016646,9.639084672927856,56.02822709083557
BiLSTM,tanh,rmsprop,25,True,0.50632,0.71872,0.718115204218736,9.78517632484436,56.74246764183045
BiLSTM,tanh,rmsprop,50,False,0.49964,0.76216,0.7613325747867628,17.2199387550354,99.54152917861938
BiLSTM,tanh,rmsprop,50,True,0.50092,0.75796,0.7559958450241808,17.3213894367218,99.85785698890686
BiLSTM,tanh,rmsprop,100,False,0.49528,0.81408,0.813871865265835,32.25669898986816,185.065642118454
BiLSTM,tanh,rmsprop,100,True,0.49364,0.8168,0.8167898586591202,32.312850618362425,185.32177686691284
